"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"35","RT @TheVineetMittal: FM @nsitharaman unleashes the #Capex bazooka. Capital expenditure proposed to increased by 33% to Rs 10 lakh crore, wh…",FALSE,0,NA,2023-02-01 08:00:34,FALSE,NA,"1620693577994207233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamSR_Mumbai",1,TRUE,FALSE,NA,NA
"36","Nominal #GDP for BE has been projected at Rs 302 lakh crore with a 10.5% Growth over the estimated nominal GDP of R… https://t.co/FgZfoGCwqy",FALSE,2,NA,2023-02-01 08:00:21,TRUE,NA,"1620693522063192068",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meetdrvinay",1,FALSE,FALSE,NA,NA
"37","#Budget2023 : आज हुए बजट के ऐलानों में किसको मिली खुशी और किसको निराशा 

#FMSitharaman #NirmalaSitharaman #Budget… https://t.co/NewQSiuOAW",FALSE,0,NA,2023-02-01 08:00:02,TRUE,NA,"1620693442912305155",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RajExpressNews",0,FALSE,FALSE,NA,NA
"38","How will you rate this Budget 2023?

Presented by Finance Minster Nirmala Sitharaman 

आप इस बजट 2023 को कैसे रेट क… https://t.co/3O0oU7FGia",FALSE,0,NA,2023-02-01 07:57:15,TRUE,NA,"1620692741410918400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beingvishal21",0,FALSE,FALSE,NA,NA
"39","CAD bounces back https://t.co/2kvJEn5G7j #USDCAD #Technical Analysis #Intermarket #GDP #FTSE https://t.co/bp3p1QBgFt",FALSE,1,NA,2023-02-01 07:56:49,FALSE,NA,"1620692632396505089",NA,"<a href=""http://www.fxstreet.com/"" rel=""nofollow"">FXstreet.com Reports</a>","FXstreetReports",0,FALSE,FALSE,NA,NA
"40","अर्थसंकल्पादरम्यान अर्थमंत्र्यांनी टॅक्स स्लॅबबाबत मोठी घोषणा केली आहे.
उत्पन्नावरील कर सवलत 5 लाखांवरून 7 लाख कर… https://t.co/db9cTI9ptn",FALSE,5,NA,2023-02-01 07:56:44,TRUE,NA,"1620692614105415680",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SaamanaOnline",0,FALSE,FALSE,NA,NA
"41","RT @keytomarkets_EN: The US opening bell:

▪️ European shares decline ahead of the us opening bell.
▪️ European GDP unexpectedly grows in Q…",FALSE,0,NA,2023-02-01 07:56:37,FALSE,NA,"1620692582052544513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nadine_Girona",2,TRUE,FALSE,NA,NA
"42","gdp growth rate projected to be at 7% - nirmala sitaraman @nsitharaman #Budget2023 #BudgetSession… https://t.co/ivs28nmer9",FALSE,1,"NavtejTv",2023-02-01 07:56:04,TRUE,"1620692440851292162","1620692445242736640","1090918878421680129","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NavtejTv",1,FALSE,FALSE,NA,NA
"43","RT @ETNOWlive: #BREAKING | Budget Fineprint 

-FY23 total receipts other than borrowing at Rs 24.3 lk cr
-See FY23 fiscal deficit at 6.4% o…",FALSE,0,NA,2023-02-01 07:54:58,FALSE,NA,"1620692169702113281",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SaurabhDJosh",3,TRUE,FALSE,NA,NA
"44","RT @SaamanaOnline: अर्थसंकल्पातील महत्वाचे मुद्दे

#SaamanaOnline #UnionBudget2023 #NirmalaSitharaman #India #GDP https://t.co/WG7WPe6LS1",FALSE,0,NA,2023-02-01 07:54:07,FALSE,NA,"1620691952760152067",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SadhanaMMaurya",2,TRUE,FALSE,NA,NA
"45","Fiscal deficit estimates for 2023-24 at 5.9% of #GDP, says FM Nirmala Sitharaman

#BudgetwithFE #BudgetSession https://t.co/WNfmNb8E2W",FALSE,0,NA,2023-02-01 07:53:49,FALSE,NA,"1620691877300408320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Siddprag",0,FALSE,FALSE,NA,NA
"46","RT @SaamanaOnline: अर्थसंकल्पातील महत्वाचे मुद्दे

#SaamanaOnline #UnionBudget2023 #NirmalaSitharaman #India #GDP https://t.co/I2nB717gF6",FALSE,0,NA,2023-02-01 07:51:55,FALSE,NA,"1620691401213366272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SadhanaMMaurya",3,TRUE,FALSE,NA,NA
"47","Budget2023
#Budget2023 #BudgetSession #NirmalaSitharaman #IndianEconomy #GDP https://t.co/eNe1z2SZAl",FALSE,0,NA,2023-02-01 07:51:17,FALSE,NA,"1620691242811260929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","farhanali2429",0,FALSE,FALSE,NA,NA
"48","RT @CRISILLimited: The reduction in fiscal deficit to 5.9% of #GDP in FY24 will complement the central bank’s #monetarypolicy action to eas…",FALSE,0,NA,2023-02-01 07:51:04,FALSE,NA,"1620691185034760193",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yeggina",2,TRUE,FALSE,NA,NA
"49","#BudgetWithMC: The government has assumed nominal GDP growth of 10.5% for 2023-24, the Budget 2023 presented by FM… https://t.co/iByNu6xkcx",FALSE,3,NA,2023-02-01 07:50:23,TRUE,NA,"1620691014867644417",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","moneycontrolcom",0,FALSE,FALSE,NA,NA
"50","RT @Akkisehra: #GDP
👇
2021 👉 8.7 % 
2022 👉7 % 
2023 👉 6.5 % 

ऐसा कोई भी साल नहीं रहा जब प्रति व्यक्ति आय बड़ी हो,महंगाई बेरोजगारी बढ़ने के…",FALSE,0,NA,2023-02-01 07:49:26,FALSE,NA,"1620690776748609538",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VipinYadavRaj1",11,TRUE,FALSE,NA,NA
