"videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"Se28XHI2_xE","Your very beautiful madam","Your very beautiful madam","Prathap","https://yt3.ggpht.com/22djTjEUh9xFxQkAsQrrdDQ-Xl4e96RdOILc8R5K655rcICjTnrFsnLa88YCKXI_L9EvNzy9PQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCUAJTpwTGi4JYZuXsjinr5A","UCUAJTpwTGi4JYZuXsjinr5A","TRUE","none","0","2020-11-01T13:14:50Z","2020-11-01T13:15:02Z","UgxFudIgQkDfp7U03_B4AaABAg",NA,NA
"Se28XHI2_xE","Can you give me your WhatsApp number... wanna talk with you 🥰","Can you give me your WhatsApp number... wanna talk with you 🥰","Gamer Thala","https://yt3.ggpht.com/ytc/AL5GRJWKoUUyAtKtMPTv32EgiOGzpGhlWgrIDmwQkyWUAQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCBzc_kVv22ZVjRNBZgcc_ow","UCBzc_kVv22ZVjRNBZgcc_ow","TRUE","none","1","2020-10-20T18:19:48Z","2020-10-20T18:19:48Z","UgwTHx7P9UNKs6labf94AaABAg",NA,NA
"Se28XHI2_xE","Thanks for this awesome explanation helped me in my DP100 Exam. Thanks from J&amp;K India.","Thanks for this awesome explanation helped me in my DP100 Exam. Thanks from J&K India.","The Architect","https://yt3.ggpht.com/ytc/AL5GRJXgyModruGaihlAA-YbUEt2XC8u9g1AlW84cAq4=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCHlgK0Jso77zcm9SD-OHd2Q","UCHlgK0Jso77zcm9SD-OHd2Q","TRUE","none","0","2020-10-18T14:29:16Z","2020-10-18T14:29:16Z","UgylsMcPpNo0JThOTOV4AaABAg",NA,NA
"Se28XHI2_xE","Thank you! Best introduction by details/time spent.","Thank you! Best introduction by details/time spent.","meltbana","https://yt3.ggpht.com/ytc/AL5GRJXkHqiI1w-m6vBEtVjz1NnTj2x6094B6B-jSw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCoere8y1KadApQro_3S3X5w","UCoere8y1KadApQro_3S3X5w","TRUE","none","2","2020-09-17T15:15:43Z","2020-09-17T15:15:43Z","Ugw34Y09bh4qWrgtH-N4AaABAg",NA,NA
"Se28XHI2_xE","So much needed to get an overview of a high-level classification of clustering algorithms.","So much needed to get an overview of a high-level classification of clustering algorithms.","Sayan Dey","https://yt3.ggpht.com/yvsYK575XmS1L68MAuGa9mahOfwJKaXtFt3926tqq7k7nqv3XoRwauvM-KXmcKBdgddRxaQsMA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC1Xi3hCgNY8muo5CDWNxvlg","UC1Xi3hCgNY8muo5CDWNxvlg","TRUE","none","7","2020-09-10T13:55:00Z","2020-09-10T13:55:00Z","UgyG19sG_-FimNvCezN4AaABAg",NA,NA
"Se28XHI2_xE","Email ID please","Email ID please","Abid Ur Rehman","https://yt3.ggpht.com/ytc/AL5GRJVBNer_qYjrgF2UmerDC46RtruqTAkfCUs_z6nCOA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCIdW-2DrUuImAxWBiT8DKJA","UCIdW-2DrUuImAxWBiT8DKJA","TRUE","none","0","2020-09-04T18:09:25Z","2020-09-04T18:09:25Z","Ugyys76M-C4zGKhPch54AaABAg",NA,NA
"Se28XHI2_xE","Excellent!. Well explained.","Excellent!. Well explained.","cordis9999","https://yt3.ggpht.com/ytc/AL5GRJUg5INcwu4fZT9KtnZx6wM6HLvO5_5mCIfGp2JU=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCPewE8zdnGpBTDPBgTwr4zw","UCPewE8zdnGpBTDPBgTwr4zw","TRUE","none","0","2020-08-09T05:12:22Z","2020-08-09T05:12:22Z","UgwykX68uyYwCV9jnjx4AaABAg",NA,NA
"Se28XHI2_xE","I see a LOT of compliments in the comments. I don&#39;t get it. <br><br>I&#39;m not the slightest bit convinced you understood even a single one of the topics you explained. Even the diagrams were clesrly ones you &quot;regurgitated&quot; from lectures no doubt RAMMED down your throat by teachers equally-confused but intolerant of being questioned by you or other students. <br><br>And so you&#39;re now merely PROPAGATING the bad lessons you badly lesrned from bad teachers...all in an attempt to be perceived as &quot;gurus&quot;. Gosh this is fatiguing. <br><br>As a Data Scientist going back DECADES, I offer you this friendly challenge: <br>START OVER.<br>START EMPTY<br>REGURGITATE NOTHING.<br><br>I DARE you to stsnd at an EMPTY board and in your OWN words, your OWN illustrations attempt to explain those SAME topics.<br><br>Then you&#39;ll realize whether you GENUINELY UNDERSTAND the concepts you&#39;re professing to know...<br>...or if you&#39;re just another parrot in an ever- growing FLOCK of parrots all making videos and claiming expertise, when in reality you just know how to &quot;run some code&quot; that someone else developed, and luckily you only have ro fool some custoneds who can&#39;t tell the difference...<br><br>-old fart data scientist (since before Al Gore invented The Internet)","I see a LOT of compliments in the comments. I don't get it. 

I'm not the slightest bit convinced you understood even a single one of the topics you explained. Even the diagrams were clesrly ones you ""regurgitated"" from lectures no doubt RAMMED down your throat by teachers equally-confused but intolerant of being questioned by you or other students. 

And so you're now merely PROPAGATING the bad lessons you badly lesrned from bad teachers...all in an attempt to be perceived as ""gurus"". Gosh this is fatiguing. 

As a Data Scientist going back DECADES, I offer you this friendly challenge: 
START OVER.
START EMPTY
REGURGITATE NOTHING.

I DARE you to stsnd at an EMPTY board and in your OWN words, your OWN illustrations attempt to explain those SAME topics.

Then you'll realize whether you GENUINELY UNDERSTAND the concepts you're professing to know...
...or if you're just another parrot in an ever- growing FLOCK of parrots all making videos and claiming expertise, when in reality you just know how to ""run some code"" that someone else developed, and luckily you only have ro fool some custoneds who can't tell the difference...

-old fart data scientist (since before Al Gore invented The Internet)","VOGTLAND OUTDOORS","https://yt3.ggpht.com/ytc/AL5GRJUCEmuO9rXLHgQPFmq6BPLac91fHAqIG08nrzz7=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC2LI0kZd_KW9PcACtKawX3g","UC2LI0kZd_KW9PcACtKawX3g","TRUE","none","2","2020-07-30T09:08:04Z","2020-07-30T09:08:04Z","UgwCGj_Nsq6Ha7t-my94AaABAg",NA,NA
"Se28XHI2_xE","what are the exact names and tools for clustering methods in deep learning?","what are the exact names and tools for clustering methods in deep learning?","Sajjad Dehghani","https://yt3.ggpht.com/ytc/AL5GRJV2n9AaHJVTvYcn7MV1XJtn1_0ZgVAHgif8o3mskg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC8KU63UBfpjRtn4NS4JSUeg","UC8KU63UBfpjRtn4NS4JSUeg","TRUE","none","0","2020-07-28T14:28:01Z","2020-07-28T14:28:01Z","Ugy3vTZMGSbq_MfQIPx4AaABAg",NA,NA
"Se28XHI2_xE","Helpfull dear","Helpfull dear","sohan Sharma","https://yt3.ggpht.com/ytc/AL5GRJUTC7zQCp2RXShzLSNBqZbbYY3WcSFaYJyELCHhKg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCADuoFwBgLNxk44JeR23BfA","UCADuoFwBgLNxk44JeR23BfA","TRUE","none","0","2020-07-27T05:46:11Z","2020-07-27T05:46:11Z","Ugyter_7Wm8tjfYviJV4AaABAg",NA,NA
"Se28XHI2_xE","Thanks a lot .","Thanks a lot .","Samia Gharib","https://yt3.ggpht.com/ytc/AL5GRJVM55om4U54OP_-6YoI76Y5ol8XBwTlFT-4FA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCk8iSwv0F2Hw3WPY9McLTZA","UCk8iSwv0F2Hw3WPY9McLTZA","TRUE","none","0","2020-07-25T10:38:08Z","2020-07-25T10:38:08Z","UgxF29vkJzfYmsoPCNV4AaABAg",NA,NA
"Se28XHI2_xE","very helpful, thanks heaps","very helpful, thanks heaps","101GreenPerson","https://yt3.ggpht.com/ytc/AL5GRJV4fy-xfGVhhafD_8tSJTLRPIgLuhYqPtoo=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC4d0faQJA6AzomNITvJE75g","UC4d0faQJA6AzomNITvJE75g","TRUE","none","0","2020-07-24T04:40:41Z","2020-07-24T04:40:41Z","UgzWoQfmndRf79chzmZ4AaABAg",NA,NA
